size,time
2, 478.4520800000173
3, 270.0829633999965
4, 186.26067550000153
5, 190.55167760001495
6, 183.52757599999313
7, 114.2740925999824
8, 100.20525830000406
9, 101.43157139999676
10, 104.49763279999024
11, 122.9207172000024
12, 109.06569419999141
13, 73.79625829998986
8, 103.64655639999546
